STOCK,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,WEEKLY_RETURNS_%,MA_4W,RSI
BEL,2022-06-05,80.3,83.48,79.43,82.23,82460000.0,1.832817337461301,79.5675,62.88283908604766
BEL,2022-06-12,81,81.3,76.27,78.23,67600000.0,-4.864404718472581,79.545,57.348703170028834
BEL,2022-06-19,78.33,78.75,74.57,77.83,55460000.0,-0.5113127956027141,79.76,59.1855410661176
BEL,2022-06-26,78.33,80.43,75.75,76.6,79560000.0,-1.5803674675574975,78.7225,59.05044510385756
BEL,2022-07-03,76.23,80.82,74.72,78.67,90100000.0,2.7023498694517034,77.8325,58.13302217036172
BEL,2022-07-10,78.6,82.23,76.73,81.83,77090000.0,4.016778950044486,78.7325,52.58985200845665
BEL,2022-07-17,83.25,90.03,83.05,88.93,245700000.0,8.676524502016392,81.50750000000001,57.72855796418473
BEL,2022-07-24,89.9,92.3,87.67,91.73,111750000.0,3.1485437984931863,85.28999999999999,58.97553167162132
BEL,2022-07-31,92.07,95.93,89.08,92.05,192660000.0,0.34884988553363083,88.635,65.78483245149911
BEL,2022-08-07,91.82,97.42,91.6,97.03,87570000.0,5.410103204780015,92.435,75.46116504854369
BEL,2022-08-14,97.5,98.57,94.45,95.03,65030000.0,-2.0612181799443463,93.96,77.58921886698278
BEL,2022-08-21,95,102.63,94.27,101.78,124070000.0,7.103020098916124,96.47250000000001,78.31965234186383
BEL,2022-08-28,100.6,109.9,100.22,108.18,124080000.0,6.288072312831594,100.50500000000001,83.58080482031417
BEL,2022-09-04,109.28,111.27,108.12,109.38,97010000.0,1.1092623405435376,103.5925,82.61562998405103
BEL,2022-09-11,109.95,114.65,108.6,111,159990000.0,1.4810751508502529,107.58500000000001,82.67090620031794
BEL,2022-09-18,112.35,113.75,106.1,106.65,85090000.0,-3.918918918918912,108.8025,82.01892744479495
BEL,2022-09-25,105,105,96.25,100.95,198220000.0,-5.344585091420539,106.995,73.26892109500805
BEL,2022-10-02,101.45,106.5,98.1,106.25,76740000.0,5.25012382367509,106.2125,77.5813953488372
BEL,2022-10-09,105.1,105.6,100.45,100.8,45180000.0,-5.129411764705882,103.6625,69.36810782426045
BEL,2022-10-16,100.5,109.2,99.95,103.55,100050000.0,2.7281746031746046,102.8875,69.14668547249647
BEL,2022-10-23,104.6,108.9,103.55,105.35,67000000.0,1.738290680830512,103.98750000000001,65.96654998055232
BEL,2022-10-30,105.9,112.2,105.15,108.95,115730000.0,3.4171808258186998,104.66250000000001,66.48793565683647
BEL,2022-11-06,109.4,111.2,104.7,107.3,56380000.0,-1.5144561725562222,106.2875,64.2390289449113
BEL,2022-11-13,107.3,111.4,105.45,107.35,100540000.0,0.04659832246038942,107.2375,60.612916495269424
BEL,2022-11-20,107.1,109.1,104.5,107.15,71090000.0,-0.18630647414996648,107.6875,62.943186672362245
BEL,2022-11-27,107.1,108.75,103.85,106.15,80000000.0,-0.9332711152589823,106.9875,55.32018504991479
BEL,2022-12-04,106.35,108.4,104.25,105.8,71720000.0,-0.32972209138013575,106.6125,46.6019417475728
BEL,2022-12-11,106,106.55,97.85,99.45,81480000.0,-6.001890359168238,104.6375,37.64002987303959
BEL,2022-12-18,99.45,102.2,96,96.55,82630000.0,-2.916038210155858,101.9875,32.569360675512655
BEL,2022-12-25,96.6,101.35,94.65,99.9,52410000.0,3.4697048161574484,100.425,41.65636588380717
BEL,2023-01-01,100.4,101.2,98.3,98.95,42400000.0,-0.9509509509509573,98.7125,47.19887955182073
BEL,2023-01-08,99.9,101.7,97.4,99.95,54430000.0,1.0106114199090355,98.8375,39.96815286624205
BEL,2023-01-15,100.45,104,100.2,101.8,54010000.0,1.8509254627313565,100.15,51.798561151079134
BEL,2023-01-22,102.35,102.5,92.45,94.3,53750000.0,-7.3673870333988205,98.75,35.79109062980031
BEL,2023-01-29,92.95,97.25,87,93.85,206340000.0,-0.4772004241781591,97.475,31.570512820512832
BEL,2023-02-05,93.5,96.7,93.2,96.25,46170000.0,2.5572722429408667,96.55,28.83333333333333
BEL,2023-02-12,96.25,98.65,93.1,96.45,88090000.0,0.2077922077922123,95.21249999999999,30.998248686514913
BEL,2023-02-19,96.7,96.75,93.65,95.35,68290000.0,-1.1404872991187198,95.475,29.72972972972974
BEL,2023-02-26,95.35,97.7,93.15,95.85,57170000.0,0.524383848977461,95.975,31.10367892976589
BEL,2023-03-05,96.35,97.25,93.55,94.9,40090000.0,-0.9911319770474547,95.63749999999999,31.155778894472377
BEL,2023-03-12,94.05,94.9,89.65,93.4,59520000.0,-1.5806111696522684,94.875,30.00000000000003
BEL,2023-03-19,93,94.5,90.85,91.55,45180000.0,-1.9807280513918668,93.925,35.09433962264151
BEL,2023-03-26,93.1,98.45,89.9,97.55,131520000.00000001,6.553795740032764,94.35,51.68918918918919
BEL,2023-04-02,98.95,99,95.05,98.75,60470000.0,1.2301383905689356,95.3125,47.90528233151183
BEL,2023-04-09,98.9,101.8,98.75,100.9,37420000.0,2.177215189873416,97.1875,53.403141361256544
BEL,2023-04-16,101,103.85,100,102.8,58220000.0,1.8830525272546916,100.0,54.822335025380696
BEL,2023-04-23,102.8,103.45,100.4,103.3,33439999.999999996,0.4863813229571967,101.4375,52.659574468085104
BEL,2023-04-30,104,108.25,103.5,106.3,54360000.0,2.9041626331074433,103.325,75.31645569620251
BEL,2023-05-07,106.3,109,106,107.3,43440000.0,0.940733772342428,104.925,77.73195876288659
BEL,2023-05-14,107.1,109.75,105.7,107,42820000.0,-0.2795899347623476,105.975,74.26636568848758
BEL,2023-05-21,108.55,111.3,107.3,110.7,73000000.0,3.457943925233642,107.825,77.77777777777777
BEL,2023-05-28,111,113.5,110.2,113.3,53000000.0,2.3486901535682003,109.575,83.0570902394107
BEL,2023-06-04,113.35,121.45,113.35,120.35,96540000.0,6.222418358340676,112.8375,86.35014836795253
BEL,2023-06-11,120.95,127.25,118.75,125.2,96140000.0,4.029912754466158,117.3875,90.29255319148935
BEL,2023-06-18,126.35,127.35,119.5,120.05,77110000.0,-4.113418530351442,119.725,82.30303030303028
BEL,2023-06-25,121,126.7,117.9,125.75,126330000.0,4.748021657642654,122.8375,87.91574279379157
BEL,2023-07-02,126,126,121.05,124.05,78450000.0,-1.3518886679920517,123.76249999999999,82.47549019607843
BEL,2023-07-09,124.2,128.8,122.5,127.15,95270000.0,2.498992341797668,124.25,83.25526932084308
BEL,2023-07-16,127.8,128.3,124.75,124.95,47500000.0,-1.7302398741643743,125.47500000000001,78.12865497076022
BEL,2023-07-23,125.35,131.7,125,130.15,81800000.0,4.161664665866338,126.57499999999999,79.69598262757872
BEL,2023-07-30,130.3,133.25,123.5,127.6,77100000.0,-1.9592777564348962,127.4625,75.25987525987523
BEL,2023-08-06,128.45,133.25,126.6,132.05,56040000.0,3.4874608150470277,128.6875,75.98385469223005
BEL,2023-08-13,131.95,131.95,126.75,127.15,31750000.0,-3.7107156380159045,129.2375,68.56875584658559
BEL,2023-08-20,127.2,137.95,127.15,133.4,96550000.0,4.915454187966972,130.05,72.2222222222222
BEL,2023-08-27,136.1,138.4,132.2,137.85,75390000.0,3.3358320839580013,132.6125,72.56857855361594
BEL,2023-09-03,139.5,144.3,137.6,143.3,85130000.0,3.9535727239753404,135.425,73.8095238095238
BEL,2023-09-10,144.35,147.15,133.3,135.7,110790000.0,-5.303558967201694,137.5625,62.07710464201414
BEL,2023-09-17,145,145,134.05,136.05,93080000.0,0.2579218865143895,138.225,59.18712955122776
BEL,2023-09-24,136.3,138.65,133.6,138.3,66530000.0,1.6538037486218293,138.3375,66.25111308993765
BEL,2023-10-01,137.9,141.35,136.55,139,54910000.0,0.5061460592913791,137.26250000000002,62.95210166177906
BEL,2023-10-08,136.2,141,135.05,137.45,52730000.0,-1.1151079136690778,137.7,63.13725490196075
BEL,2023-10-15,137,138.95,133.5,134.2,37430000.0,-2.364496180429243,137.2375,56.89149560117299
BEL,2023-10-22,134.3,135.9,127,132.2,56490000.0,-1.4903129657228065,135.71249999999998,57.11481844946024
BEL,2023-10-29,133.5,137,130.75,135.95,41620000.0,2.8366111951588557,134.95,55.85858585858583
BEL,2023-11-05,136.95,141.15,136,138.8,36680000.0,2.0963589554983564,135.2875,61.24497991967871
BEL,2023-11-12,139.95,146.5,139.05,146.1,58000000.0,5.259365994236309,138.2625,63.342830009496645
BEL,2023-11-19,146.4,146.75,137.35,140.35,57910000.0,-3.935660506502392,140.3,62.336448598130815
BEL,2023-11-26,141.65,150.3,140.4,147.45,85330000.0,5.058781617385111,143.17499999999998,62.92548298068074
BEL,2023-12-03,152,162.35,149.95,158.75,181430000.0,7.66361478467279,148.1625,67.0751633986928
BEL,2023-12-10,159.8,170.2,159.15,169.05,109710000.0,6.488188976377951,153.9,69.49280847842542
BEL,2023-12-17,171.75,176.3,164.05,174.8,117430000.0,3.401360544217691,162.5125,80.45171339563862
BEL,2023-12-24,178,185.2,178,184.2,118700000.0,5.377574370709359,171.70000000000002,82.8668941979522
BEL,2023-12-31,184.8,188.65,179.75,185.95,106970000.0,0.9500542888164931,178.5,82.74914089347078
BEL,2024-01-07,186.75,187.65,182.05,183.5,51520000.0,-1.317558483463288,182.11249999999998,79.86577181208054
BEL,2024-01-14,184.9,193.7,180,191.85,104530000.0,4.550408719346044,186.375,83.45633456334565
BEL,2024-01-21,193,195.5,184,189.7,66620000.00000001,-1.1206671879072205,187.75,84.60099750623442
BEL,2024-01-28,190,193.7,181.55,184.6,129120000.0,-2.6884554559831297,187.4125,81.45258103241298
BEL,2024-02-04,187,187.1,176.5,180.65,100380000.0,-2.139761646803895,186.7,76.76646706586828
BEL,2024-02-11,181.25,190.4,171.75,188.3,104230000.0,4.234707998892895,185.8125,78.02944507361269
BEL,2024-02-18,189.95,207,186.25,205.3,169200000.0,9.02814657461497,189.71249999999998,80.20408163265307
BEL,2024-02-25,205.65,209,199.75,205.6,131900000.0,0.1461276181198068,194.9625,85.25121555915723
BEL,2024-03-03,206,216.8,205.6,215.2,128460000.00000001,4.669260700389111,203.60000000000002,85.63913729615993
BEL,2024-03-10,216.45,216.45,179.1,188.85,222550000.0,-12.244423791821557,203.7375,63.669391462307
BEL,2024-03-17,190,198.95,182.5,197.5,141530000.0,4.5803547789250665,201.78750000000002,63.116643614568936
BEL,2024-03-24,197,203.95,195.95,201.5,80970000.0,2.0253164556962133,200.7625,62.51171508903468
BEL,2024-03-31,205,226,203.75,224.5,231020000.0,11.414392059553347,203.08749999999998,66.74979218620118
BEL,2024-04-07,225.55,235.4,221.2,233.5,139860000.0,4.008908685968815,214.25,68.63974911799295
BEL,2024-04-14,230,238,225.7,233.3,130039999.99999999,-0.08565310492505418,223.20000000000002,69.87230646448525
BEL,2024-04-21,236,241.65,231.75,238.95,106820000.0,2.4217745392198786,232.5625,69.20880913539968
